Article Title ,Author(s),Contact Info.,Year Published,Institution ,# of publications used,Olivia (Article Link),Qual. Score method,QualSyst number
The Prevalence of Vascular Dementia in China: A Systematic Review and Meta-Analysis,"Chenze JIAO 1,2, Shouchao WEI 3, Tingting LIU 1,2, Xiao BAO 1, Wenrong CHEN 3, Zhi-min LIAO 2, Wanjuan PENG 2,4, Wei WEI 5, *Zhou LIU 2",liuzhou@gdmu.edu.cn,2021,"1.Department of Neurology, The Affiliated Yuebei People’s Hospital of Shantou University Medical College, Shaoguan, China 2.Guangdong Key Laboratory of Age-Related Cardiac and Cerebral Diseases, Institute of Neurology, Department of Neurology, Affiliated Hospital of Guangdong Medical University, Zhanjiang, Guangdong, China 3.Central People’s Hospital of Zhanjiang, Zhanjiang, China 4.Guangdong Medical University, Zhanjiang, China5.Gaomi People’s Hospital, Gaomi, China*",48,https://dx-doi-org.myaccess.library.utoronto.ca/10.18502/ijph.v50i1.5068,Other,quality evaluation criteria of epide-miological  research methods (refer to table 1)
Genome-wide association study meta-analysis of dizygotic twinning illuminates genetic regulation of female fecundity.,"Hamdi Mbarek 1,2,3,, Scott D. Gordon4 , David L. Duffy4 , Nikki Hubers1,3, Sally Mortlock 5 , Jeffrey J. Beck6 , Jouke-Jan Hottenga1 , Rene Pool  1 , Conor V. Dolan1 , Ky’Era V. Actkins7 , Zachary F. Gerring 4 , Jenny Van Dongen 1,3, Erik A. Ehli6 , William G. Iacono8 , Matt Mcgue8 , Daniel I. Chasman9,10, C. Scott Gallagher9 , Samantha L.P. Schilit 9,10, Cynthia C. Morton9,10, Guillaume Pare 11, Gonneke Willemsen1 , David C. Whiteman 2 , Catherine M. Olsen 4 , Catherine Derom12, Robert Vlietinck12, Daniel Gudbjartsson13, Lisa Cannon-Albright14, Eva Krapohl15,16, Robert Plomin15, Patrik K.E. Magnusson17, Nancy L. Pedersen17, Pirro Hysi 18, Massimo Mangino18,19, Timothy D. Spector18, Teemu Palviainen 20, Yuri Milaneschi21, Brenda W. Penninnx21, Adrian I. Campos 4,5, Ken K. Ong22, John R.B. Perry22, Cornelis B. Lambalk 3,23, Jaakko Kaprio20, Isleifur Olafsson  24, Karine Duroure25, Celine Revenu  25, Miguel E. Renterıa4 , Loic Yengo5 , Lea Davis7 , Eske M. Derks4 , Sarah E. Medland4 , Hreinn Stefansson13, Kari Stefansson13, Filippo Del Bene 25, Bruno Reversade 26,27, Grant W. Montgomery 5 , Dorret I. Boomsma 1,3,†,, and Nicholas G. Martin 4,,†",: h.mbarek@vu.nl,2024,"1 Department of Biological Psychology, Netherlands Twin Register, Vrije Universiteit, Amsterdam, The Netherlands 2 Qatar Genome Program, Qatar Foundation, Doha, Qatar 3 Amsterdam Reproduction and Development Institute, Amsterdam, The Netherlands 4 QIMR Berghofer Medical Research Institute, Brisbane, QLD, Australia 5 Institute of Molecular Bioscience, University of Queensland, Brisbane, QLD, Australia 6 Avera Institute for Human Genetics, Avera McKennan Hospital and University Health Center, Sioux Falls, SD, USA 7 Vanderbilt Genetics Institute, Vanderbilt University, Nashville, TN, USA 8 Department of Psychology, University of Minnesota, Minneapolis, MN, USA 9 Harvard Medical School, Harvard University, Boston, MA, USA 10Brigham and Women’s Hospital, Boston, MA, USA 11Population Health Research Institute, McMaster University, Hamilton, ON, Canada 12University of Leuven, Leuven, Belgium 13deCODE Genetics, Reykjavik, Iceland 14University of Utah, Salt Lake City, UT, USA 15Medical Research Council Social, Genetic and Developmental Psychiatry Centre, Institute of Psychiatry, Psychology & Neuroscience, King’s College London, London, UK 16Statistical Sciences & Innovation, UCB Biosciences GmbH, Monheim, Germany 17Department of Medical Epidemiology and Biostatistics, Karolinska Institutet, Stockholm, Sweden 18Department of Twin Research & Genetic Epidemiology, King’s College London, London, UK 19NIHR Biomedical Research Centre at Guy’s and St Thomas’ Foundation Trust, London, UK 20Institute for Molecular Medicine Finland FIMM, University of Helsinki, Helsinki, Finland 21Department of Psychiatry, EMGO Institute for Health and Care Research, Vrije Universiteit, Amsterdam, The Netherlands 22MRC Epidemiology Unit, University of Cambridge School of Clinical Medicine, Institute of Metabolic Science, Cambridge, UK 23Amsterdam University Medical Centers Location VU Medical Center, Amsterdam, The Netherlands 24Department of Clinical Biochemistry, National University Hospital of Iceland, Reykjavik, Iceland 25Sorbonne Universite, INSERM, CNRS, Institut de la Vision, Paris, France  26Genome Institute of Singapore, Laboratory of Human Genetics & Therapeutics, ASTAR, Singapore, Singapore 27Smart-Health Initiative, BESE, KAUST, Thuwal, Saudi Arabia",95,https://dx-doi-org.myaccess.library.utoronto.ca/10.1093/humrep/dead247,,n/a
A meta-analysis of the impacts of genetically modified crops,"Wilhelm Klu¨ mper, Matin Qaim*",: mqaim@uni-goettingen.de,2014,"Department of Agricultural Economics and Rural Development, Georg-August-University of Goettingen, Goettingen, Germany",27,"https://dx-doi-org.myaccess.library.utoronto.ca/10.1371/journal.pone.0111629""",NONE,
"Distracted Walking, Bicycling, and Driving: Systematic Review and Meta-Analysis of Mobile Technology and Youth Crash Risk","Despina Stavrinos, Caitlin N. Pope, Jiabin Shen, David C. Schwebel",dstavrin@uab.edu.,2018,University of Alabama at Birmingham  Research Institute at Nationwide Children’s Hospital,113,https://dx-doi-org.myaccess.library.utoronto.ca/10.1111/cdev.12827,"GRADE, Cochrane",
Impact of 3D Printing Technology-Assisted Rehabilitation Cycles on Prognostic Motility in Surgically Treated Tibial Plateau Fractures: A Meta-Analysis,"Huaping Hu, MM; Huiwen Yang, MD",13707996057@163.com,2024,Department of Joint Surgery; Pingxiang City People’s Hospital; Pingxiang; Jiangxi; China.,3,https://pubmed.ncbi.nlm.nih.gov/38843430/,Cochrane,
Complications of Implanted Vagus Nerve Stimulation: A Systematic Review and Meta-analysis,Roshini Kalagaraa Susmita Chennareddya Emma Reforda Abhiraj D. Bhimania Daniel D. Cumminsa Margaret H. Downesa Jenna M. Tostob Joshua B. Bedersona J Moccoa David Putrinob Christopher P. Kellnera Fedor Panova,roshini.kalagara @ icahn.mssm.edu,2024,"a Department of Neurosurgery, Icahn School of Medicine at Mount Sinai, New York, NY, USA; bDepartment of Rehabilitation and Human Performance, Icahn School of Medicine at Mount Sinai, New York, NY, USA",44,https://dx-doi-org.myaccess.library.utoronto.ca/10.1159/000536362,NONE,no quality assessment were performed
 Does robotic-assisted surgery improve outcomes of total hip arthroplasty compared to manual technique? A systematic review and meta-analysis,"Vishal Kumar†, Sandeep Patel †, Vishnu Baburaj , *, Rajesh Kumar Rajnish , Sameer Aggarwal",drvbms@gmail.com,2023,"Orthopedic Surgery, PGIMER, Chandigarh, India",34,https://pubmed.ncbi.nlm.nih.gov/37294729/,MINORS,(methodological index for non-randomized studies)
"Developing a model of mental health self-care support for children and young people through an integrated evaluation of available types of provision involving systematic review, meta-analysis and case study","Steven Pryjmachuk 1, Rebecca Elvey 1, Susan Kirk 1, Sarah Kendal 1, Peter Bower 2, Roger Catchpole 3",n/a,2014,"1School of Nursing, Midwifery and Social Work, The University of Manchester and Manchester Academic Health Science Centre (MAHSC), Manchester, UK 2Institute of Population Health, The University of Manchester and Manchester Academic Health Science Centre (MAHSC), Manchester, UK 3YoungMinds, London, UK",233,https://pubmed.ncbi.nlm.nih.gov/25642499/,Cochrane,
Race and Ethnic Representation in Crohn's Disease Trials of Biologic and Small Molecule Medications: A Systematic Review and Meta-analysis.,"Matt Pelton,a, Paddy Ssentongo, b Ashley Sun,c Destin Groff, c Shannon Dalessio, d Kofi Clarked,",mp1938@rwjms.rutgers.edu,2024,"a Department of Internal Medicine, Rutgers Robert Wood Johnson Medical School, New Brunswick, New Jersey, USA b Department of Internal Medicine, Penn State College of Medicine, Hershey, Pennsylvania, USA c Penn State College of Medicine, Hershey, Pennsylvania, USA d Department of Gastroenterology, Penn State College of Medicine, Hershey, Pennsylvania, USA",22,https://dx-doi-org.myaccess.library.utoronto.ca/10.1093/ecco-jcc/jjad138,Cochrane,
Evaluating the Prevalence of Burnout Among Health Care Professionals Related to Electronic Health Record Use: Systematic Review and Meta-Analysis. ,,,,,,https://dx-doi-org.myaccess.library.utoronto.ca/10.2196/54811,,
