Article Title,Article Link,,,,,,,,,,,,
Examining Mental Workload Relating to Digital Health Technologies in Health Care: Systematic Review,https://www.proquest.com/docview/2730434332/abstract/F07B6573EE024F7BPQ/270?accountid=14771&sourcetype=Scholarly%20Journals,Irrelevant,,,,,,,,,,,Relevant
"Facilitators of, barriers to, and preferences for e-mental health interventions for depression and anxiety in men: Metasynthesis and recommendations. [Review]: ",https://dx-doi-org.myaccess.library.utoronto.ca/10.1016/j.jad.2023.11.015,Relevant,,,,,,,,,,,Irrelevant
Determining 'curriculum viability' through standards and inhibitors of curriculum quality: a scoping review.:,https://dx-doi-org.myaccess.library.utoronto.ca/10.1186/s12909-019-1759-8,Irrelevant,,,,,,,,,,,
Examining Mental Workload Relating to Digital Health Technologies in Health Care: Systematic Review. [Review]:,https://dx-doi-org.myaccess.library.utoronto.ca/10.2196/40946,Relevant,,,,,,,,,,,
Motor Rehabilitation Using Kinect: A Systematic Review. [Review]:,https://dx-doi-org.myaccess.library.utoronto.ca/10.1089/g4h.2014.0047,Irrelevant,,,,,,,,,,,
"A worldwide survey on incidence, management, and prognosis of oesophageal fistula formation following atrial fibrillation catheter ablation: the POTTER-AF study","""PMC10344651""",Irrelevant,,,,,,,,,,,
The empirical evidence underpinning the concept and practice of person-centred care for serious illness: a systematic review:,PMC7733074,Irrelevant,,,,,,,,,,,
Improving persuasive writing skills of high school students with specific learning disabilities: STOP and DARE strategy:,10.1002/dys.1788,Irrelevant,,,,,,,,,,,
Non-lesional treatment options for tremor in idiopathic Parkinson syndrome: a protocol for a systematic literature review:,PMC8372820,Irrelevant,,,,,,,,,,,
Durum wheat genome highlights past domestication signatures and future improvement targets:,10.1038/s41588-019-0381-3,Irrelevant,,,,,,,,,,,
"OMICs, Epigenetics, and Genome Editing Techniques for Food and Nutritional Security: ",PMC8309286,Irrelevant,,,,,,,,,,,
Mutations in the Spliceosome Component CWC27 Cause Retinal Degeneration with or without Additional Developmental Anomalies:,PMC5384039,Irrelevant,,,,,,,,,,,
Targeted long-read sequencing identifies missing disease-causing variation:,PMC8387463,Irrelevant,,,,,,,,,,,
Nutrition/Dietary Supplements and Chronic Pain in Patients with Cancer and Survivors of Cancer: A Systematic Review and Research Agenda:,no doi found,Relevant,,,,,,,,,,,
Patient-Relevant Outcomes in Psoriasis: A Systematic Review:,10.1001/jamadermatol.2022.1756,Irrelevant,,,,,,,,,,,
Experiences of primary healthcare professionals and patients from an area of urban disadvantage: a qualitative study:,PMC6995866,Relevant,,,,,,,,,,,
The ERCC6 gene and age-related macular degeneration:,PMC2967476,Irrelevant,,,,,,,,,,,
A common molecular mechanism underlies two phenotypically distinct 17p13.1 microdeletion syndromes:,PMC2978979,Irrelevant,,,,,,,,,,,
Pathogenic diversity amongst serotype C VGIII and VGIV Cryptococcus gattii isolates:,PMC4495446,Irrelevant,,,,,,,,,,,
"Extended haplotypes in the complement factor H (CFH) and CFH-related (CFHR) family of genes protect against age-related macular degeneration: characterization, ethnic distribution and evolutionary implications: ",PMC1905836,Irrelevant,,,,,,,,,,,
Longitudinal Subgrouping of Patients With Cancer Based on Symptom Experiences: An Integrative Review:,10.1188/22.ONF.E17-E30,Irrelevant,,,,,,,,,,,
Capturing Wheat Phenotypes at the Genome Level:,PMC9289626,Irrelevant,,,,,,,,,,,
Palliative surgery versus medical management for bowel obstruction in ovarian cancer:,PMC4170995,Irrelevant,,,,,,,,,,,
Ozone-related acute excess mortality projected to increase in the absence of climate and air quality controls consistent with the Paris Agreement:,PMC7615682,Irrelevant,,,,,,,,,,,
Best practice implementation: lessons learned from 20 partnerships:,10.1016/s1553-7250(07)33120-6,Irrelevant,,,,,,,,,,,
